"trial_type","trial_index","plugin_version","time_elapsed","participant","prolific_pid","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","767","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:22:12.972Z","0","ok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","2027","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:22:14.232Z","0","ok","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","34843","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:22:47.048Z","25039","left","","","","","","enter_fullscreen","32814","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","37426","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:22:49.631Z","0","ok","true","","","","","enter_fullscreen_confirm","1575","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","95731","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:23:47.936Z","0","ok","","","","","","welcome_instructions_tips","58304","","","[{""page_index"":0,""viewing_time"":2839},{""page_index"":1,""viewing_time"":4704},{""page_index"":2,""viewing_time"":1240},{""page_index"":3,""viewing_time"":6384},{""page_index"":4,""viewing_time"":3176},{""page_index"":5,""viewing_time"":2192},{""page_index"":6,""viewing_time"":1840},{""page_index"":7,""viewing_time"":6384},{""page_index"":8,""viewing_time"":1560},{""page_index"":9,""viewing_time"":3688},{""page_index"":10,""viewing_time"":3297},{""page_index"":11,""viewing_time"":4576},{""page_index"":12,""viewing_time"":5744},{""page_index"":13,""viewing_time"":7048},{""page_index"":14,""viewing_time"":3632}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","97726","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:23:49.931Z","0","ok","","","","","","start-practice","1994","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","97728","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:23:49.933Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","103548","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:23:55.753Z","0","ok","","","","","","practice_trial","","","","","","2","1","1","down","2295","false","win","null","null","null","1","1","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","108126","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:24:00.331Z","0","ok","","","","","","practice_trial","","","","","","4","3","4","up","1072","false","loss","null","null","null","-1","0","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","112542","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:24:04.747Z","0","ok","","","","","","practice_trial","","","","","","2","4","2","up","887","false","win","null","null","null","1","1","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","2.1.0","116933","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:24:09.138Z","0","ok","","","","","","practice_trial","","","","","","3","4","3","up","869","false","loss","null","null","null","-1","0","practice","0","4","4","false","","","","","","","","","","","","","","","","","",""
"call-function","11","2.1.0","116934","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:24:09.139Z","0","ok","","","","","","practice_novideo_zone_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","2.1.0","119279","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:24:11.485Z","0","ok","","","","","","video-practice","2344","<div class=""screen-text"">
    <h1>Videos at the casino station</h1>
    <p>As mentioned, from time to time the casino station will play a short video next to the card game (without sound)</p>
    <p>Let's practice four more rounds, this time with a video playing alongside the cards.</p>
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","13","2.1.0","119282","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:24:11.487Z","0","ok","","","","","","practice_video_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","2.1.0","124375","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:24:16.580Z","0","ok","","","","","","practice_trial","","","","","","4","1","1","down","1571","false","loss","null","null","null","-1","-1","practice_video","0","5","1","true","first_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","2.1.0","129393","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:24:21.598Z","0","ok","","","","","","practice_trial","","","","","","2","1","2","up","1494","false","win","null","null","null","1","0","practice_video","0","6","2","true","first_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","16","2.1.0","134414","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:24:26.619Z","0","ok","","","","","","practice_trial","","","","","","3","4","4","down","1501","false","win","null","null","null","1","1","practice_video","0","7","3","true","first_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","2.1.0","139615","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:24:31.820Z","0","ok","","","","","","practice_trial","","","","","","1","4","1","up","1677","false","loss","null","null","null","-1","0","practice_video","0","8","4","true","first_video_cats_and_dogs_compressed.mp4","","","","","","","","","","","","","","","","",""
"call-function","18","2.1.0","139616","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:24:31.821Z","0","ok","","","","","","practice_video_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","2.1.0","140819","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:24:33.024Z","0","ok","","","","","","end-practice","1202","<div class=""screen-text"">
    <h1>Practice Complete</h1>
    <p>Good job! You completed the practice.</p>
    <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","20","2.1.0","140819","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:24:33.024Z","0","ok","","","","","","practice_counter_reset","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","21","2.1.0","142579","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:24:34.784Z","0","ok","","","","","","reminders","1759","<div class=""screen-text"">
  <h1>Reminders</h1>
  <p>Before you begin, here is a quick reminder of the key points from the instructions and tips:</p>
  <ul>
    <li>Each card's chance of winning is independent of the other cards — choose based on each card on its own.</li>
    <li>A card's chance of winning can change over time, so stay focused round to round.</li>
    <li>The location of the cards is random — select only based on the card you see, not its position on the screen.</li>
    <li>You will be able to track your gold coins in real time at the top of the screen.</li>
    <li>Note: your gold coins can go below 0 if you keep losing — there is no floor.</li>
  </ul>
  <p class=""center muted"">Press any key to continue</p></div>","ArrowDown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","22","2.1.0","143955","","5d68c8aa40524c00189e8ac2","s0hrqt8r","jsplyppz","6a645a5fa766b6fd5a83642a","6a6f284dee3d113947028ffa","1536","864","B","set1","3","2026-08-02T11:24:36.160Z","0","ok","","","","","","instructions_test","1375","<div class=""screen-text"">
  <p>We will now start a short quiz about the instructions.</p>
  <p class=""center muted"">Press any key to continue</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
